PMID	PubMed Link	Title
28608282	https://pubmed.ncbi.nlm.nih.gov/28608282	Poly(ADP-ribosylated) proteins in mononuclear cells from patients with type 2 diabetes identified by proteomic studies.
28683826	https://pubmed.ncbi.nlm.nih.gov/28683826	Identification and characterization of a FOXA2-regulated transcriptional enhancer at a type 2 diabetes intronic locus that controls GCKR expression in liver cells.
28692819	https://pubmed.ncbi.nlm.nih.gov/28692819	Physical activity modifies the influence of apolipoprotein E ε4 allele and type 2 diabetes on dementia and cognitive impairment among older Mexican Americans.
28696414	https://pubmed.ncbi.nlm.nih.gov/28696414	Pharmacogenetics of oral antidiabetes drugs: evidence for diverse signals at the IRS1 locus.
28758947	https://pubmed.ncbi.nlm.nih.gov/28758947	Adiponectin, Leptin, and Leptin Receptor in Obese Patients with Type 2 Diabetes Treated with Insulin Detemir.
28761062	https://pubmed.ncbi.nlm.nih.gov/28761062	T2DiACoD: A Gene Atlas of Type 2 Diabetes Mellitus Associated Complex Disorders.
28915971	https://pubmed.ncbi.nlm.nih.gov/28915971	Genotrophic effect of neurotrophins - Restart of β-cell regeneration in diabetes mellitus.
28963693	https://pubmed.ncbi.nlm.nih.gov/28963693	MicroRNA-191, acting via the IRS-1/Akt signaling pathway, is involved in the hepatic insulin resistance induced by cigarette smoke extract.
29048714	https://pubmed.ncbi.nlm.nih.gov/29048714	High genetic risk scores for impaired insulin secretory capacity doubles the risk for type 2 diabetes in Asians and is exacerbated by Western-type diets.
29053995	https://pubmed.ncbi.nlm.nih.gov/29053995	Effects of a whey protein supplementation on oxidative stress, body composition and glucose metabolism among overweight people affected by diabetes mellitus or impaired fasting glucose: A pilot study.
29082258	https://pubmed.ncbi.nlm.nih.gov/29082258	The Impact of Ghrelin in Metabolic Diseases: An Immune Perspective.
29104511	https://pubmed.ncbi.nlm.nih.gov/29104511	ATP2B1 gene Silencing Increases Insulin Sensitivity through Facilitating Akt Activation via the Ca<sup>2+</sup>/calmodulin Signaling Pathway and Ca<sup>2+</sup>-associated eNOS Activation in Endothelial Cells.
29115286	https://pubmed.ncbi.nlm.nih.gov/29115286	Genetic predictors associated with diabetic retinopathy in patients with diabetic foot.
29199201	https://pubmed.ncbi.nlm.nih.gov/29199201	Effects of a Dipeptidyl Peptidase 4 Inhibitor Sitagliptin on Glycemic Control and Lipoprotein Metabolism in Patients with Type 2 Diabetes Mellitus (GLORIA Trial).
29199608	https://pubmed.ncbi.nlm.nih.gov/29199608	Role of Interleukin-6 in Development of Insulin Resistance and Type 2 Diabetes Mellitus.
29222982	https://pubmed.ncbi.nlm.nih.gov/29222982	Association between MTHFR variant and diabetic neuropathy.
29246729	https://pubmed.ncbi.nlm.nih.gov/29246729	A comparison of the effects of low- and high-dose atorvastatin on lipoprotein metabolism and inflammatory cytokines in type 2 diabetes: Results from the Protection Against Nephropathy in Diabetes with Atorvastatin (PANDA) randomized trial.
29301582	https://pubmed.ncbi.nlm.nih.gov/29301582	Association of polymorphisms in LEPR with type 2 diabetes and related metabolic traits in a Chinese population.
29311680	https://pubmed.ncbi.nlm.nih.gov/29311680	Inhibition of insulin resistance by PGE1 via autophagy-dependent FGF21 pathway in diabetic nephropathy.
29383971	https://pubmed.ncbi.nlm.nih.gov/29383971	Evaluation of the oxidative stress-related genes ALOX5, ALOX5AP, GPX1, GPX3 and MPO for contribution to the risk of type 2 diabetes mellitus in the Han Chinese population.
29412824	https://pubmed.ncbi.nlm.nih.gov/29412824	Ghrelin regulation of glucose metabolism.
29421776	https://pubmed.ncbi.nlm.nih.gov/29421776	Association Between Matrix Metalloproteinase-3 Activity and Glomerular Filtration Rate and Albuminuria Status in Patients With Type 2 Diabetes Mellitus.
29422093	https://pubmed.ncbi.nlm.nih.gov/29422093	Reduced coronary collateralization in type 2 diabetic patients with chronic total occlusion.
29432710	https://pubmed.ncbi.nlm.nih.gov/29432710	Serum cystatin C is independently associated with aortic arterial stiffness in patients with type 2 diabetes.
29437019	https://pubmed.ncbi.nlm.nih.gov/29437019	What Genetics Tells us about Cardiovascular Disease in Diabetic Patients?
29439145	https://pubmed.ncbi.nlm.nih.gov/29439145	Association between the ABCA1 rs1800977 polymorphism and susceptibility to type 2 diabetes mellitus in a Chinese Han population.
29496508	https://pubmed.ncbi.nlm.nih.gov/29496508	Decreased the creatinine to cystatin C ratio is a surrogate marker of sarcopenia in patients with type 2 diabetes.
29543843	https://pubmed.ncbi.nlm.nih.gov/29543843	Type 2 diabetes is associated with loss of HDL endothelium protective functions.
29572131	https://pubmed.ncbi.nlm.nih.gov/29572131	Oxidative stress-mediated influence of plasma DPP4 activity to BDNF ratio on mild cognitive impairment in elderly type 2 diabetic patients: results from the GDMD study in China.
29577261	https://pubmed.ncbi.nlm.nih.gov/29577261	Clock genes alterations and endocrine disorders.
29590254	https://pubmed.ncbi.nlm.nih.gov/29590254	Xanthine oxidase activity in patients with age-related cataract associated with hypertension.
29615169	https://pubmed.ncbi.nlm.nih.gov/29615169	Serum Cystatin C as an Early Diagnostic Biomarker of Diabetic Kidney Disease in Type 2 Diabetic Patients.
29615540	https://pubmed.ncbi.nlm.nih.gov/29615540	Can Serum Cystatin C predict long-term survival in cardiac surgery patients?
29618657	https://pubmed.ncbi.nlm.nih.gov/29618657	17-β Estradiol regulates proglucagon-derived peptide secretion in mouse and human α- and L cells.
29621814	https://pubmed.ncbi.nlm.nih.gov/29621814	A Meta-Analysis of the Associations Between the ATP-Binding Cassette Transporter ABCA1 R219K (rs2230806) Polymorphism and the Risk of Type 2 Diabetes in Asians.
29623430	https://pubmed.ncbi.nlm.nih.gov/29623430	Relationship between serum apolipoproteins levels and retinopathy risk in subjects with type 2 diabetes mellitus.
29673928	https://pubmed.ncbi.nlm.nih.gov/29673928	Utility of urinary biomarkers as a diagnostic tool for early diabetic nephropathy in patients with type 2 diabetes mellitus.
29704611	https://pubmed.ncbi.nlm.nih.gov/29704611	Functional characterization of MODY2 mutations in the nuclear export signal of glucokinase.
29708925	https://pubmed.ncbi.nlm.nih.gov/29708925	Unexplained reciprocal regulation of diabetes and lipoproteins.
29749571	https://pubmed.ncbi.nlm.nih.gov/29749571	Hepatic IRS1 and ß-catenin expression is associated with histological progression and overt diabetes emergence in NAFLD patients.
29776493	https://pubmed.ncbi.nlm.nih.gov/29776493	Mechanisms in bariatric surgery: Gut hormones, diabetes resolution, and weight loss.
29789397	https://pubmed.ncbi.nlm.nih.gov/29789397	The Wnt antagonist and secreted frizzled-related protein 5: implications on lipid metabolism, inflammation, and type 2 diabetes mellitus.
29843993	https://pubmed.ncbi.nlm.nih.gov/29843993	A case control study on HDL associated PON1 enzyme level in Northern Indian type 2 diabetes mellitus patients.
29865065	https://pubmed.ncbi.nlm.nih.gov/29865065	A New Perspective in Utilizing MMP-9 as a Therapeutic Target for Alzheimer's Disease and Type 2 Diabetes Mellitus.
29891331	https://pubmed.ncbi.nlm.nih.gov/29891331	Serum Brain-Derived Neurotrophic Factor is Related to Platelet Reactivity and Metformin Treatment in Adult Patients With Type 2 Diabetes Mellitus.
29903327	https://pubmed.ncbi.nlm.nih.gov/29903327	[Study on the prevalence of lipid metabolism disorders and quantitative analysis of apolipoproteins in T2DM patients].
29936921	https://pubmed.ncbi.nlm.nih.gov/29936921	Effect of liquid ubiquinol supplementation on glucose, lipids and antioxidant capacity in type 2 diabetes patients: a double-blind, randomised, placebo-controlled trial.
29940201	https://pubmed.ncbi.nlm.nih.gov/29940201	Epigallocatechin gallate improves insulin resistance in HepG2 cells through alleviating inflammation and lipotoxicity.
29940464	https://pubmed.ncbi.nlm.nih.gov/29940464	Synthesis and biological evaluations of marine oxohexadecenoic acids: PPARα/γ dual agonism and anti-diabetic target gene effects.
29964170	https://pubmed.ncbi.nlm.nih.gov/29964170	Impaired glutathione-related antioxidant defenses in the arterial tissue of diabetic patients.
30039763	https://pubmed.ncbi.nlm.nih.gov/30039763	Recent Updates on Glucokinase Activators and Glucokinase Regulatory Protein Disrupters for the Treatment of Type 2 Diabetes Mellitus.
30073224	https://pubmed.ncbi.nlm.nih.gov/30073224	Egg consumption may improve factors associated with glycemic control and insulin sensitivity in adults with pre- and type II diabetes.
30098371	https://pubmed.ncbi.nlm.nih.gov/30098371	Potential effects of metformin in DNA BER system based on oxidative status in type 2 diabetes.
30137542	https://pubmed.ncbi.nlm.nih.gov/30137542	Role of wnt5a in Metabolic Inflammation in Humans.
30145601	https://pubmed.ncbi.nlm.nih.gov/30145601	Diagnostic Significance of Serum Levels of Nerve Growth Factor and Brain Derived Neurotrophic Factor in Diabetic Peripheral Neuropathy.
30150236	https://pubmed.ncbi.nlm.nih.gov/30150236	Urine Complement Proteins and the Risk of Kidney Disease Progression and Mortality in Type 2 Diabetes.
30243011	https://pubmed.ncbi.nlm.nih.gov/30243011	The adipokine Chemerin and Fetuin-A Serum Levels in Type 2 Diabetes Mellitus: Relation to Obesity and Inflammatory Markers.
30257587	https://pubmed.ncbi.nlm.nih.gov/30257587	Clinical significance of type 2 iodothyronine deiodinase polymorphism.
30308512	https://pubmed.ncbi.nlm.nih.gov/30308512	Reduced Serum Levels of Brain-Derived Neurotrophic Factor Are Related to Mild Cognitive Impairment in Chinese Patients with Type 2 Diabetes Mellitus.
30308521	https://pubmed.ncbi.nlm.nih.gov/30308521	Glucagon-Like Peptide-1 Modulates Cholesterol Homeostasis by Suppressing the miR-19b-Induced Downregulation of ABCA1.
30355913	https://pubmed.ncbi.nlm.nih.gov/30355913	Downregulation of miR-31 in Diabetic Nephropathy and its Relationship with Inflammation.
30363954	https://pubmed.ncbi.nlm.nih.gov/30363954	Changes in the Brain-Derived Neurotrophic Factor Are Associated with Improvements in Diabetes Risk Factors after Exercise Training in Adolescents with Obesity: The HEARTY Randomized Controlled Trial.
30391334	https://pubmed.ncbi.nlm.nih.gov/30391334	The serum creatinine to cystatin C ratio predicts bone fracture in patients with type 2 diabetes: The Fukuoka Diabetes Registry.
30397262	https://pubmed.ncbi.nlm.nih.gov/30397262	Interaction of MTHFR C677T polymorphism with smoking in susceptibility to diabetic nephropathy in Chinese men with type 2 diabetes.
30507611	https://pubmed.ncbi.nlm.nih.gov/30507611	Cognitive function in hypothyroidism: what is that deiodinase again?
30530781	https://pubmed.ncbi.nlm.nih.gov/30530781	Impaired Glucocorticoid Suppression of TGFβ Signaling in Human Omental Adipose Tissues Limits Adipogenesis and May Promote Fibrosis.
30538427	https://pubmed.ncbi.nlm.nih.gov/30538427	Mechanism involved in insulin resistance via accumulation of β-amyloid and neurofibrillary tangles: link between type 2 diabetes and Alzheimer's disease.
30538427	https://pubmed.ncbi.nlm.nih.gov/30538427	Mechanism involved in insulin resistance via accumulation of β-amyloid and neurofibrillary tangles: link between type 2 diabetes and Alzheimer's disease.
